Date,"Total Energy Consumed by the End-Use-Sectors, Monthly","Total Energy Consumed by the Residential Sector, Monthly","Total Energy Consumed by the Industrial Sector, Monthly","Total Energy Consumed by the Commercial Sector, Monthly","Total Energy Consumed by the Transportation Sector, Monthly"
1973-01-01,7036.038,1891.085,2602.134,1035.184,1507.635
1973-02-01,6426.142,1654.702,2367.405,963.267,1440.768
1973-03-01,6340.899,1449.509,2486.493,841.078,1563.818
1973-04-01,5772.216,1129.599,2465.954,693.905,1482.758
1973-05-01,5898.599,953.569,2670.393,649.991,1624.645
1973-06-01,5634.292,861.453,2587.561,641.174,1544.103
1973-07-01,5791.706,905.936,2647.58,650.257,1587.932
1973-08-01,6039.409,940.74,2784.521,664.332,1649.816
1973-09-01,5651.207,894.153,2633.794,617.155,1506.105
1973-10-01,6044.855,936.71,2869.699,658.034,1580.412
1973-11-01,6375.4,1158.124,2869.236,763.773,1584.266
1973-12-01,6698.42,1476.39,2813.099,871.81,1537.122
1974-01-01,6697.11,1771.885,2493.926,990.716,1440.584
1974-02-01,6124.774,1523.817,2395.594,864.273,1341.09
1974-03-01,6174.677,1384.949,2489.747,817.08,1482.9
1974-04-01,5665.28,1151.233,2339.3,704.95,1469.796
1974-05-01,5666.738,942.738,2527.31,636.952,1559.739
1974-06-01,5453.151,855.001,2466.365,603.51,1528.275
1974-07-01,5795.126,926.932,2634.472,651.899,1581.822
1974-08-01,5841.366,905.321,2689.371,642.15,1604.524
1974-09-01,5559.415,849.516,2648.062,603.011,1458.826
1974-10-01,6039.458,948.281,2850.622,668.345,1572.21
1974-11-01,6080.284,1101.086,2734.761,734.621,1509.815
1974-12-01,6668.853,1571.191,2601.449,928.868,1567.345
1975-01-01,6876.331,1714.381,2670.586,947.075,1544.289
1975-02-01,5999.741,1579.805,2179.23,879.442,1361.264
1975-03-01,6188.607,1491.686,2334.024,843.688,1519.21
1975-04-01,5612.884,1314.001,2012.18,775.899,1510.803
1975-05-01,5298.767,966.28,2140.696,645.955,1545.835
1975-06-01,5243.087,861.306,2218.792,632.733,1530.256
1975-07-01,5484.174,917.352,2343.666,662.764,1560.392
1975-08-01,5578.121,932.43,2414.749,670.384,1560.558
1975-09-01,5350.191,860.012,2381.345,615.282,1493.552
1975-10-01,5746.173,892.878,2636.079,646.471,1570.744
1975-11-01,5673.81,1017.32,2520.547,691.181,1444.763
1975-12-01,6735.945,1552.369,2668.285,915.525,1599.767
1976-01-01,7121.858,1943.896,2570.74,1073.397,1533.824
1976-02-01,6217.646,1626.356,2242.047,927.978,1421.265
1976-03-01,6203.595,1388.044,2364.172,843.84,1607.539
1976-04-01,5685.694,1112.624,2278.421,709.814,1584.835
1976-05-01,5615.649,949.989,2430.395,667.627,1567.638
1976-06-01,5643.784,894.103,2461.817,674.027,1613.836
1976-07-01,5838.115,927.183,2566.139,693.022,1651.771
1976-08-01,5798.481,923.885,2576.456,688.664,1609.476
1976-09-01,5594.722,859.394,2508.494,644.34,1582.494
1976-10-01,6094.158,956.341,2843.57,692.269,1601.978
1976-11-01,6585.827,1338.969,2783.766,861.637,1601.454
1976-12-01,7508.928,1835.179,2894.475,1057.728,1721.546
1977-01-01,7697.519,2224.329,2699.477,1190.025,1583.687
1977-02-01,6544.149,1843.874,2180.116,991.906,1528.252
1977-03-01,6434.172,1406.783,2523.43,844.392,1659.566
1977-04-01,5849.848,1090.57,2399.873,718.255,1641.15
1977-05-01,5866.491,930.007,2617.047,698.284,1621.153
